usertype,start_station_name,end_station_name,route,num_of_trips,duration
Subscriber,Barrow St & Hudson St,Bank St & Hudson St,Barrow St & Hudson St to Bank St & Hudson St,4461,4.6
Subscriber,Clinton Ave & Myrtle Ave,Lawrence St & Willoughby St,Clinton Ave & Myrtle Ave to Lawrence St & Willoughby St,4457,8.65
Subscriber,Stanton St & Chrystie St,Allen St & Hester St,Stanton St & Chrystie St to Allen St & Hester St,4457,5.76
Subscriber,Lafayette St & Jersey St,E 17 St & Broadway,Lafayette St & Jersey St to E 17 St & Broadway,4455,9.08
Subscriber,Murray St & West St,Centre St & Chambers St,Murray St & West St to Centre St & Chambers St,4452,5.79
Subscriber,Greenwich Ave & 8 Ave,Barrow St & Hudson St,Greenwich Ave & 8 Ave to Barrow St & Hudson St,4447,7.74
Subscriber,W 14 St & The High Line,West St & Chambers St,W 14 St & The High Line to West St & Chambers St,4445,14.31
Subscriber,S 4 St & Wythe Ave,Metropolitan Ave & Bedford Ave,S 4 St & Wythe Ave to Metropolitan Ave & Bedford Ave,4440,6.34
Subscriber,1 Ave & E 15 St,E 17 St & Broadway,1 Ave & E 15 St to E 17 St & Broadway,4439,6.6
Subscriber,E 25 St & 2 Ave,E 11 St & 2 Ave,E 25 St & 2 Ave to E 11 St & 2 Ave,4436,7.1
Subscriber,8 Ave & W 52 St,9 Ave & W 45 St,8 Ave & W 52 St to 9 Ave & W 45 St,4430,6.11
Subscriber,Driggs Ave & Lorimer St,N 8 St & Driggs Ave,Driggs Ave & Lorimer St to N 8 St & Driggs Ave,4429,3.66
Subscriber,Madison St & Montgomery St,Canal St & Rutgers St,Madison St & Montgomery St to Canal St & Rutgers St,4427,3.88
Subscriber,W 20 St & 11 Ave,Greenwich Ave & 8 Ave,W 20 St & 11 Ave to Greenwich Ave & 8 Ave,4424,8.42
Subscriber,E 11 St & 2 Ave,E 17 St & Broadway,E 11 St & 2 Ave to E 17 St & Broadway,4421,6.32
Subscriber,5 Ave & E 29 St,Broadway & E 22 St,5 Ave & E 29 St to Broadway & E 22 St,4415,4.39
Subscriber,Cleveland Pl & Spring St,E 17 St & Broadway,Cleveland Pl & Spring St to E 17 St & Broadway,4413,10.65
Subscriber,E 32 St & Park Ave,Broadway & W 32 St,E 32 St & Park Ave to Broadway & W 32 St,4398,4.78
Subscriber,Christopher St & Greenwich St,Mercer St & Bleecker St,Christopher St & Greenwich St to Mercer St & Bleecker St,4398,7.99
Subscriber,W 45 St & 8 Ave,8 Ave & W 33 St,W 45 St & 8 Ave to 8 Ave & W 33 St,4388,7.7
Subscriber,Canal St & Rutgers St,Canal St & Rutgers St,Canal St & Rutgers St to Canal St & Rutgers St,4386,16.9
Subscriber,Suffolk St & Stanton St,Mott St & Prince St,Suffolk St & Stanton St to Mott St & Prince St,4381,7.68
Subscriber,Driggs Ave & N Henry St,N 8 St & Driggs Ave,Driggs Ave & N Henry St to N 8 St & Driggs Ave,4379,7.61
Subscriber,W 17 St & 8 Ave,W 21 St & 6 Ave,W 17 St & 8 Ave to W 21 St & 6 Ave,4376,5.79
Subscriber,E 15 St & 3 Ave,E 20 St & FDR Drive,E 15 St & 3 Ave to E 20 St & FDR Drive,4370,7.03
Subscriber,Broadway & W 58 St,Broadway & W 51 St,Broadway & W 58 St to Broadway & W 51 St,4369,4.1
Subscriber,Broadway & W 32 St,Broadway & W 24 St,Broadway & W 32 St to Broadway & W 24 St,4366,5.14
Subscriber,W 26 St & 8 Ave,W 27 St & 10 Ave,W 26 St & 8 Ave to W 27 St & 10 Ave,4348,3.62
Subscriber,Broadway & E 14 St,LaGuardia Pl & W 3 St,Broadway & E 14 St to LaGuardia Pl & W 3 St,4345,6.86
Subscriber,Pershing Square South,W 41 St & 8 Ave,Pershing Square South to W 41 St & 8 Ave,4345,7.96
Subscriber,Broadway & W 55 St,Broadway & W 49 St,Broadway & W 55 St to Broadway & W 49 St,4344,4.22
Subscriber,E 12 St & 3 Ave,Washington Pl & Broadway,E 12 St & 3 Ave to Washington Pl & Broadway,4343,4.9
Subscriber,45 Rd & 11 St,46 Ave & 5 St,45 Rd & 11 St to 46 Ave & 5 St,4342,3.54
Subscriber,Banker St & Meserole Ave,Berry St & N 8 St,Banker St & Meserole Ave to Berry St & N 8 St,4337,5.17
Subscriber,3 Ave & E 62 St,1 Ave & E 68 St,3 Ave & E 62 St to 1 Ave & E 68 St,4332,5.28
Subscriber,University Pl & E 14 St,MacDougal St & Prince St,University Pl & E 14 St to MacDougal St & Prince St,4326,9.02
Customer,12 Ave & W 40 St,Pier 40 - Hudson River Park,12 Ave & W 40 St to Pier 40 - Hudson River Park,4320,22.35
Customer,Grand Army Plaza & Central Park S,5 Ave & E 73 St,Grand Army Plaza & Central Park S to 5 Ave & E 73 St,4319,33.59
Subscriber,E 47 St & Park Ave,E 58 St & 3 Ave,E 47 St & Park Ave to E 58 St & 3 Ave,4318,7.27
Subscriber,W 49 St & 8 Ave,W 47 St & 10 Ave,W 49 St & 8 Ave to W 47 St & 10 Ave,4317,5.15
Subscriber,W 41 St & 8 Ave,W 49 St & 8 Ave,W 41 St & 8 Ave to W 49 St & 8 Ave,4317,5.67
Subscriber,W 41 St & 8 Ave,8 Ave & W 52 St,W 41 St & 8 Ave to 8 Ave & W 52 St,4316,6.22
Subscriber,Broadway & E 22 St,E 20 St & FDR Drive,Broadway & E 22 St to E 20 St & FDR Drive,4316,8.7
Subscriber,W 21 St & 6 Ave,W 31 St & 7 Ave,W 21 St & 6 Ave to W 31 St & 7 Ave,4313,6.09
Subscriber,2 Ave & E 31 St,E 25 St & 2 Ave,2 Ave & E 31 St to E 25 St & 2 Ave,4309,3.76
Subscriber,1 Ave & E 68 St,1 Ave & E 78 St,1 Ave & E 68 St to 1 Ave & E 78 St,4306,5.07
Subscriber,1 Ave & E 30 St,Pershing Square North,1 Ave & E 30 St to Pershing Square North,4306,9.12
Subscriber,Nassau Ave & Russell St,N 8 St & Driggs Ave,Nassau Ave & Russell St to N 8 St & Driggs Ave,4298,7.7
Subscriber,E 20 St & Park Ave,E 20 St & FDR Drive,E 20 St & Park Ave to E 20 St & FDR Drive,4296,6.33
Subscriber,W 41 St & 8 Ave,E 43 St & Vanderbilt Ave,W 41 St & 8 Ave to E 43 St & Vanderbilt Ave,4296,8.32
Subscriber,9 Ave & W 45 St,9 Ave & W 22 St,9 Ave & W 45 St to 9 Ave & W 22 St,4290,12.0
Subscriber,W 38 St & 8 Ave,Broadway & W 24 St,W 38 St & 8 Ave to Broadway & W 24 St,4287,9.61
Subscriber,Greenwich Ave & 8 Ave,Christopher St & Greenwich St,Greenwich Ave & 8 Ave to Christopher St & Greenwich St,4286,7.1
Subscriber,Broadway & E 14 St,E 14 St & Avenue B,Broadway & E 14 St to E 14 St & Avenue B,4284,9.22
Subscriber,W 22 St & 10 Ave,W 20 St & 7 Ave,W 22 St & 10 Ave to W 20 St & 7 Ave,4283,9.19
Subscriber,1 Ave & E 15 St,E 15 St & 3 Ave,1 Ave & E 15 St to E 15 St & 3 Ave,4280,4.23
Subscriber,Graham Ave & Conselyea St,Richardson St & N Henry St,Graham Ave & Conselyea St to Richardson St & N Henry St,4278,3.45
Subscriber,1 Ave & E 68 St,Lexington Ave & E 63 St,1 Ave & E 68 St to Lexington Ave & E 63 St,4278,5.44
Subscriber,Lafayette St & E 8 St,E 13 St & Avenue A,Lafayette St & E 8 St to E 13 St & Avenue A,4277,7.38
Customer,Grand Army Plaza & Central Park S,5 Ave & E 88 St,Grand Army Plaza & Central Park S to 5 Ave & E 88 St,4277,30.92
Subscriber,Bank St & Hudson St,Greenwich Ave & 8 Ave,Bank St & Hudson St to Greenwich Ave & 8 Ave,4261,4.28
Subscriber,Broadway & W 32 St,E 17 St & Broadway,Broadway & W 32 St to E 17 St & Broadway,4250,8.93
Subscriber,Broadway & E 14 St,E 11 St & 2 Ave,Broadway & E 14 St to E 11 St & 2 Ave,4250,5.15
Subscriber,1 Ave & E 15 St,1 Ave & E 30 St,1 Ave & E 15 St to 1 Ave & E 30 St,4250,6.45
Subscriber,Greenwich Ave & Charles St,Greenwich Ave & 8 Ave,Greenwich Ave & Charles St to Greenwich Ave & 8 Ave,4246,4.27
Subscriber,Liberty St & Broadway,Pearl St & Hanover Square,Liberty St & Broadway to Pearl St & Hanover Square,4246,4.13
Subscriber,Greenwich Ave & 8 Ave,Washington St & Gansevoort St,Greenwich Ave & 8 Ave to Washington St & Gansevoort St,4245,5.23
Subscriber,University Pl & E 14 St,W 4 St & 7 Ave S,University Pl & E 14 St to W 4 St & 7 Ave S,4242,8.12
Customer,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2 to Brooklyn Bridge Park - Pier 2,4237,37.82
Customer,5 Ave & E 78 St,5 Ave & E 78 St,5 Ave & E 78 St to 5 Ave & E 78 St,4235,38.46
Subscriber,Broadway & E 14 St,W 13 St & 7 Ave,Broadway & E 14 St to W 13 St & 7 Ave,4235,5.5
Subscriber,E 17 St & Broadway,Broadway & E 22 St,E 17 St & Broadway to Broadway & E 22 St,4232,4.61
Subscriber,Barclay St & Church St,Lispenard St & Broadway,Barclay St & Church St to Lispenard St & Broadway,4229,6.98
Subscriber,11 Ave & W 59 St,8 Ave & W 33 St,11 Ave & W 59 St to 8 Ave & W 33 St,4225,14.06
Subscriber,Lafayette St & E 8 St,W 18 St & 6 Ave,Lafayette St & E 8 St to W 18 St & 6 Ave,4218,9.36
Subscriber,W 18 St & 6 Ave,8 Ave & W 31 St,W 18 St & 6 Ave to 8 Ave & W 31 St,4210,9.42
Subscriber,Broadway & E 22 St,W 22 St & 8 Ave,Broadway & E 22 St to W 22 St & 8 Ave,4209,7.01
Subscriber,W 20 St & 11 Ave,W 24 St & 7 Ave,W 20 St & 11 Ave to W 24 St & 7 Ave,4208,7.78
Subscriber,Driggs Ave & N Henry St,Graham Ave & Conselyea St,Driggs Ave & N Henry St to Graham Ave & Conselyea St,4208,5.89
Subscriber,5 Ave & E 29 St,Pershing Square North,5 Ave & E 29 St to Pershing Square North,4206,7.7
Subscriber,Christopher St & Greenwich St,Vesey Pl & River Terrace,Christopher St & Greenwich St to Vesey Pl & River Terrace,4204,12.34
Subscriber,Greenwich Ave & Charles St,W 21 St & 6 Ave,Greenwich Ave & Charles St to W 21 St & 6 Ave,4197,6.57
Customer,W 20 St & 11 Ave,West St & Chambers St,W 20 St & 11 Ave to West St & Chambers St,4195,21.64
Subscriber,Broadway & W 49 St,E 48 St & 3 Ave,Broadway & W 49 St to E 48 St & 3 Ave,4190,6.99
Customer,Central Park West & W 72 St,Central Park S & 6 Ave,Central Park West & W 72 St to Central Park S & 6 Ave,4190,26.71
Subscriber,9 Ave & W 18 St,8 Ave & W 31 St,9 Ave & W 18 St to 8 Ave & W 31 St,4189,7.57
Subscriber,E 13 St & Avenue A,E 17 St & Broadway,E 13 St & Avenue A to E 17 St & Broadway,4186,8.2
Subscriber,Great Jones St,E 12 St & 3 Ave,Great Jones St to E 12 St & 3 Ave,4182,4.65
Subscriber,Vesey Pl & River Terrace,South End Ave & Liberty St,Vesey Pl & River Terrace to South End Ave & Liberty St,4181,6.78
Subscriber,W 49 St & 8 Ave,W 43 St & 10 Ave,W 49 St & 8 Ave to W 43 St & 10 Ave,4180,5.56
Subscriber,Greenwich St & W Houston St,West St & Chambers St,Greenwich St & W Houston St to West St & Chambers St,4178,8.66
Subscriber,W 27 St & 7 Ave,W 18 St & 6 Ave,W 27 St & 7 Ave to W 18 St & 6 Ave,4177,6.2
Subscriber,1 Ave & E 30 St,E 32 St & Park Ave,1 Ave & E 30 St to E 32 St & Park Ave,4173,6.0
Subscriber,West Thames St,West Thames St,West Thames St to West Thames St,4172,21.0
Subscriber,Suffolk St & Stanton St,Lafayette St & Jersey St,Suffolk St & Stanton St to Lafayette St & Jersey St,4172,7.91
Subscriber,Berry St & N 8 St,Milton St & Franklin St,Berry St & N 8 St to Milton St & Franklin St,4167,6.37
Subscriber,Broadway & E 14 St,Cleveland Pl & Spring St,Broadway & E 14 St to Cleveland Pl & Spring St,4165,10.23
Subscriber,W 4 St & 7 Ave S,University Pl & E 14 St,W 4 St & 7 Ave S to University Pl & E 14 St,4160,7.62
Subscriber,Pershing Square North,2 Ave & E 31 St,Pershing Square North to 2 Ave & E 31 St,4158,7.82
Subscriber,W 56 St & 10 Ave,9 Ave & W 45 St,W 56 St & 10 Ave to 9 Ave & W 45 St,4155,7.75
Subscriber,Pershing Square North,W 38 St & 8 Ave,Pershing Square North to W 38 St & 8 Ave,4152,9.66
Subscriber,E 19 St & 3 Ave,E 17 St & Broadway,E 19 St & 3 Ave to E 17 St & Broadway,4151,4.49
Subscriber,W 31 St & 7 Ave,W 24 St & 7 Ave,W 31 St & 7 Ave to W 24 St & 7 Ave,4150,4.12
Subscriber,W 52 St & 5 Ave,W 33 St & 7 Ave,W 52 St & 5 Ave to W 33 St & 7 Ave,4148,12.7
Subscriber,E 10 St & 5 Ave,University Pl & E 14 St,E 10 St & 5 Ave to University Pl & E 14 St,4145,4.15
Subscriber,Pershing Square North,W 27 St & 7 Ave,Pershing Square North to W 27 St & 7 Ave,4143,11.02
Subscriber,Pier 40 - Hudson River Park,West St & Chambers St,Pier 40 - Hudson River Park to West St & Chambers St,4143,7.88
Customer,Central Park West & W 85 St,Central Park S & 6 Ave,Central Park West & W 85 St to Central Park S & 6 Ave,4142,26.62
Subscriber,W 17 St & 8 Ave,W 38 St & 8 Ave,W 17 St & 8 Ave to W 38 St & 8 Ave,4140,9.76
Subscriber,University Pl & E 14 St,MacDougal St & Washington Sq,University Pl & E 14 St to MacDougal St & Washington Sq,4128,5.57
Subscriber,E 17 St & Broadway,Lexington Ave & E 24 St,E 17 St & Broadway to Lexington Ave & E 24 St,4127,6.24
Subscriber,West St & Chambers St,Greenwich St & W Houston St,West St & Chambers St to Greenwich St & W Houston St,4127,8.85
Subscriber,Great Jones St,E 17 St & Broadway,Great Jones St to E 17 St & Broadway,4124,7.63
Subscriber,1 Ave & E 78 St,E 85 St & 3 Ave,1 Ave & E 78 St to E 85 St & 3 Ave,4123,6.81
Subscriber,1 Ave & E 62 St,1 Ave & E 78 St,1 Ave & E 62 St to 1 Ave & E 78 St,4122,7.4
Subscriber,W 33 St & 7 Ave,W 44 St & 5 Ave,W 33 St & 7 Ave to W 44 St & 5 Ave,4121,8.0
Subscriber,Greenwich Ave & 8 Ave,W 24 St & 7 Ave,Greenwich Ave & 8 Ave to W 24 St & 7 Ave,4118,8.07
Subscriber,E 15 St & 3 Ave,1 Ave & E 18 St,E 15 St & 3 Ave to 1 Ave & E 18 St,4116,5.03
Subscriber,E 45 St & 3 Ave,W 41 St & 8 Ave,E 45 St & 3 Ave to W 41 St & 8 Ave,4113,10.05
Subscriber,8 Ave & W 31 St,Broadway & W 51 St,8 Ave & W 31 St to Broadway & W 51 St,4113,10.38
Subscriber,Broadway & E 14 St,Great Jones St,Broadway & E 14 St to Great Jones St,4099,5.82
Subscriber,Broadway & W 41 St,W 33 St & 7 Ave,Broadway & W 41 St to W 33 St & 7 Ave,4081,5.64
Subscriber,8 Ave & W 31 St,E 47 St & Park Ave,8 Ave & W 31 St to E 47 St & Park Ave,4080,13.04
Subscriber,W 27 St & 7 Ave,11 Ave & W 27 St,W 27 St & 7 Ave to 11 Ave & W 27 St,4078,7.52
Subscriber,West Thames St,Greenwich St & Warren St,West Thames St to Greenwich St & Warren St,4078,9.65
Subscriber,W 27 St & 7 Ave,W 26 St & 10 Ave,W 27 St & 7 Ave to W 26 St & 10 Ave,4077,6.75
Subscriber,E 7 St & Avenue A,Great Jones St,E 7 St & Avenue A to Great Jones St,4076,6.66
Subscriber,W 31 St & 7 Ave,2 Ave & E 31 St,W 31 St & 7 Ave to 2 Ave & E 31 St,4066,9.14
Subscriber,8 Ave & W 31 St,W 41 St & 8 Ave,8 Ave & W 31 St to W 41 St & 8 Ave,4065,5.59
Subscriber,8 Ave & W 31 St,W 26 St & 10 Ave,8 Ave & W 31 St to W 26 St & 10 Ave,4064,6.58
Subscriber,Broadway & E 14 St,Mercer St & Bleecker St,Broadway & E 14 St to Mercer St & Bleecker St,4055,6.4
Subscriber,E 12 St & 3 Ave,E 9 St & Avenue C,E 12 St & 3 Ave to E 9 St & Avenue C,4054,8.19
Subscriber,West St & Chambers St,Pier 40 - Hudson River Park,West St & Chambers St to Pier 40 - Hudson River Park,4054,7.82
Subscriber,York St & Jay St,Carlton Ave & Flushing Ave,York St & Jay St to Carlton Ave & Flushing Ave,4045,7.93
Subscriber,Broadway & E 22 St,W 15 St & 7 Ave,Broadway & E 22 St to W 15 St & 7 Ave,4045,7.43
Subscriber,Broadway & E 14 St,E 6 St & Avenue B,Broadway & E 14 St to E 6 St & Avenue B,4043,8.97
Subscriber,W 47 St & 10 Ave,8 Ave & W 33 St,W 47 St & 10 Ave to 8 Ave & W 33 St,4042,9.01
Subscriber,E 10 St & Avenue A,E 17 St & Broadway,E 10 St & Avenue A to E 17 St & Broadway,4032,10.86
Subscriber,W 25 St & 6 Ave,E 17 St & Broadway,W 25 St & 6 Ave to E 17 St & Broadway,4032,6.19
Subscriber,Milton St & Franklin St,Berry St & N 8 St,Milton St & Franklin St to Berry St & N 8 St,4032,7.78
Subscriber,MacDougal St & Washington Sq,University Pl & E 14 St,MacDougal St & Washington Sq to University Pl & E 14 St,4031,5.25
Subscriber,Carmine St & 6 Ave,Lafayette St & E 8 St,Carmine St & 6 Ave to Lafayette St & E 8 St,4030,8.46
Subscriber,Allen St & Rivington St,Cleveland Pl & Spring St,Allen St & Rivington St to Cleveland Pl & Spring St,4029,5.86
Subscriber,8 Ave & W 31 St,W 45 St & 8 Ave,8 Ave & W 31 St to W 45 St & 8 Ave,4024,7.24
Subscriber,Lafayette St & E 8 St,E 11 St & 1 Ave,Lafayette St & E 8 St to E 11 St & 1 Ave,4024,5.53
Subscriber,Broadway & W 29 St,1 Ave & E 30 St,Broadway & W 29 St to 1 Ave & E 30 St,4024,7.37
Subscriber,1 Ave & E 18 St,E 15 St & 3 Ave,1 Ave & E 18 St to E 15 St & 3 Ave,4022,5.0
Subscriber,Kent Ave & N 7 St,Milton St & Franklin St,Kent Ave & N 7 St to Milton St & Franklin St,4021,5.94
Subscriber,E 17 St & Broadway,E 11 St & 2 Ave,E 17 St & Broadway to E 11 St & 2 Ave,4017,7.27
Subscriber,Henry St & Atlantic Ave,Clark St & Henry St,Henry St & Atlantic Ave to Clark St & Henry St,4016,7.45
Subscriber,St Marks Pl & 1 Ave,Broadway & E 14 St,St Marks Pl & 1 Ave to Broadway & E 14 St,4007,7.06
Subscriber,Broadway & E 14 St,E 11 St & 1 Ave,Broadway & E 14 St to E 11 St & 1 Ave,4006,6.54
Subscriber,E 13 St & Avenue A,University Pl & E 14 St,E 13 St & Avenue A to University Pl & E 14 St,3998,7.69
Subscriber,Greenwich Ave & 8 Ave,W 20 St & 8 Ave,Greenwich Ave & 8 Ave to W 20 St & 8 Ave,3998,4.49
Subscriber,9 Ave & W 45 St,W 39 St & 9 Ave,9 Ave & W 45 St to W 39 St & 9 Ave,3998,4.33
Subscriber,E 48 St & 5 Ave,W 49 St & 8 Ave,E 48 St & 5 Ave to W 49 St & 8 Ave,3997,6.14
Subscriber,Cleveland Pl & Spring St,Cleveland Pl & Spring St,Cleveland Pl & Spring St to Cleveland Pl & Spring St,3994,17.98
Subscriber,N 8 St & Driggs Ave,Nassau Ave & Russell St,N 8 St & Driggs Ave to Nassau Ave & Russell St,3994,7.64
Subscriber,Great Jones St,E 2 St & Avenue B,Great Jones St to E 2 St & Avenue B,3992,7.26
Subscriber,Lafayette Ave & Classon Ave,Emerson Pl & Myrtle Ave,Lafayette Ave & Classon Ave to Emerson Pl & Myrtle Ave,3985,3.62
Subscriber,FDR Drive & E 35 St,E 47 St & Park Ave,FDR Drive & E 35 St to E 47 St & Park Ave,3984,9.07
Subscriber,W 18 St & 6 Ave,Pershing Square North,W 18 St & 6 Ave to Pershing Square North,3984,12.87
Subscriber,Broadway & E 22 St,8 Ave & W 31 St,Broadway & E 22 St to 8 Ave & W 31 St,3979,10.65
Subscriber,Broadway & Berry St,N 6 St & Bedford Ave,Broadway & Berry St to N 6 St & Bedford Ave,3977,5.04
Subscriber,E 15 St & 3 Ave,Lexington Ave & E 24 St,E 15 St & 3 Ave to Lexington Ave & E 24 St,3975,5.95
Subscriber,Broadway & W 60 St,E 58 St & 3 Ave,Broadway & W 60 St to E 58 St & 3 Ave,3974,10.25
Subscriber,Broadway & W 24 St,W 38 St & 8 Ave,Broadway & W 24 St to W 38 St & 8 Ave,3972,10.53
Subscriber,5 Ave & E 29 St,E 17 St & Broadway,5 Ave & E 29 St to E 17 St & Broadway,3969,7.14
Subscriber,E 25 St & 2 Ave,E 15 St & 3 Ave,E 25 St & 2 Ave to E 15 St & 3 Ave,3968,6.03
Subscriber,1 Ave & E 15 St,E 20 St & FDR Drive,1 Ave & E 15 St to E 20 St & FDR Drive,3966,5.41
Subscriber,2 Ave & E 31 St,E 20 St & 2 Ave,2 Ave & E 31 St to E 20 St & 2 Ave,3964,5.34
Subscriber,West St & Chambers St,Broadway & Battery Pl,West St & Chambers St to Broadway & Battery Pl,3963,12.7
Subscriber,Washington Pl & Broadway,E 12 St & 3 Ave,Washington Pl & Broadway to E 12 St & 3 Ave,3963,5.11
Subscriber,8 Ave & W 31 St,W 17 St & 8 Ave,8 Ave & W 31 St to W 17 St & 8 Ave,3963,8.36
Subscriber,9 Ave & W 22 St,9 Ave & W 16 St,9 Ave & W 22 St to 9 Ave & W 16 St,3961,3.63
Subscriber,Liberty St & Broadway,Broadway & Battery Pl,Liberty St & Broadway to Broadway & Battery Pl,3961,5.08
Subscriber,Pershing Square North,E 20 St & Park Ave,Pershing Square North to E 20 St & Park Ave,3955,8.87
Subscriber,W 16 St & The High Line,8 Ave & W 31 St,W 16 St & The High Line to 8 Ave & W 31 St,3954,9.93
Subscriber,Vesey Pl & River Terrace,Christopher St & Greenwich St,Vesey Pl & River Terrace to Christopher St & Greenwich St,3953,13.09
Subscriber,Broadway & W 41 St,6 Ave & W 33 St,Broadway & W 41 St to 6 Ave & W 33 St,3953,5.52
Subscriber,W 27 St & 7 Ave,W 15 St & 7 Ave,W 27 St & 7 Ave to W 15 St & 7 Ave,3949,5.83
Subscriber,West St & Chambers St,Bank St & Washington St,West St & Chambers St to Bank St & Washington St,3947,11.81
Subscriber,W 17 St & 8 Ave,W 26 St & 8 Ave,W 17 St & 8 Ave to W 26 St & 8 Ave,3942,5.59
Subscriber,W 33 St & 7 Ave,2 Ave & E 31 St,W 33 St & 7 Ave to 2 Ave & E 31 St,3942,8.92
Subscriber,York St & Jay St,Washington Ave & Park Ave,York St & Jay St to Washington Ave & Park Ave,3941,10.2
Subscriber,Broadway & E 14 St,St Marks Pl & 2 Ave,Broadway & E 14 St to St Marks Pl & 2 Ave,3939,6.65
Subscriber,Broadway & E 14 St,St Marks Pl & 1 Ave,Broadway & E 14 St to St Marks Pl & 1 Ave,3937,7.14
Subscriber,6 Ave & W 33 St,W 41 St & 8 Ave,6 Ave & W 33 St to W 41 St & 8 Ave,3931,7.53
Subscriber,E 17 St & Broadway,E 13 St & Avenue A,E 17 St & Broadway to E 13 St & Avenue A,3931,12.99
Subscriber,W 27 St & 10 Ave,W 26 St & 8 Ave,W 27 St & 10 Ave to W 26 St & 8 Ave,3929,3.36
Subscriber,8 Ave & W 31 St,10 Ave & W 28 St,8 Ave & W 31 St to 10 Ave & W 28 St,3927,5.79
Subscriber,E 2 St & Avenue B,Lafayette St & Jersey St,E 2 St & Avenue B to Lafayette St & Jersey St,3926,7.76
Subscriber,E 11 St & 1 Ave,Lafayette St & E 8 St,E 11 St & 1 Ave to Lafayette St & E 8 St,3923,5.28
Subscriber,Lafayette St & Jersey St,Suffolk St & Stanton St,Lafayette St & Jersey St to Suffolk St & Stanton St,3917,7.72
Subscriber,Christopher St & Greenwich St,Christopher St & Greenwich St,Christopher St & Greenwich St to Christopher St & Greenwich St,3914,22.6
Subscriber,W 31 St & 7 Ave,E 32 St & Park Ave,W 31 St & 7 Ave to E 32 St & Park Ave,3904,7.15
Subscriber,E 7 St & Avenue A,E 17 St & Broadway,E 7 St & Avenue A to E 17 St & Broadway,3903,10.03
Subscriber,W 22 St & 10 Ave,W 18 St & 6 Ave,W 22 St & 10 Ave to W 18 St & 6 Ave,3901,8.48
Subscriber,W 43 St & 10 Ave,W 44 St & 5 Ave,W 43 St & 10 Ave to W 44 St & 5 Ave,3899,7.85
Subscriber,6 Ave & W 33 St,Broadway & W 41 St,6 Ave & W 33 St to Broadway & W 41 St,3899,6.37
Subscriber,W 33 St & 7 Ave,W 24 St & 7 Ave,W 33 St & 7 Ave to W 24 St & 7 Ave,3898,4.6
Subscriber,W 51 St & 6 Ave,W 33 St & 7 Ave,W 51 St & 6 Ave to W 33 St & 7 Ave,3898,9.32
Subscriber,Lafayette St & E 8 St,W 13 St & 6 Ave,Lafayette St & E 8 St to W 13 St & 6 Ave,3897,6.77
Subscriber,Canal St & Rutgers St,Madison St & Montgomery St,Canal St & Rutgers St to Madison St & Montgomery St,3897,4.6
Subscriber,N 6 St & Bedford Ave,Kent Ave & N 7 St,N 6 St & Bedford Ave to Kent Ave & N 7 St,3895,4.21
Subscriber,Mott St & Prince St,Suffolk St & Stanton St,Mott St & Prince St to Suffolk St & Stanton St,3893,7.21
Subscriber,10 Ave & W 28 St,W 26 St & 8 Ave,10 Ave & W 28 St to W 26 St & 8 Ave,3893,4.13
Subscriber,E 17 St & Broadway,E 10 St & Avenue A,E 17 St & Broadway to E 10 St & Avenue A,3883,9.96
Subscriber,Atlantic Ave & Furman St,Old Fulton St,Atlantic Ave & Furman St to Old Fulton St,3883,14.0
Subscriber,University Pl & E 14 St,E 13 St & Avenue A,University Pl & E 14 St to E 13 St & Avenue A,3873,8.32
Subscriber,Washington Pl & 6 Ave,W 21 St & 6 Ave,Washington Pl & 6 Ave to W 21 St & 6 Ave,3871,6.73
Subscriber,Mercer St & Bleecker St,Carmine St & 6 Ave,Mercer St & Bleecker St to Carmine St & 6 Ave,3868,5.95
Subscriber,E 13 St & Avenue A,E 12 St & 3 Ave,E 13 St & Avenue A to E 12 St & 3 Ave,3867,6.9
Subscriber,Vesey Pl & River Terrace,West St & Chambers St,Vesey Pl & River Terrace to West St & Chambers St,3855,11.0
Subscriber,E 20 St & 2 Ave,E 15 St & 3 Ave,E 20 St & 2 Ave to E 15 St & 3 Ave,3855,4.0
Subscriber,E 47 St & Park Ave,Broadway & W 49 St,E 47 St & Park Ave to Broadway & W 49 St,3850,7.19
Subscriber,Little West St & 1 Pl,Broadway & Battery Pl,Little West St & 1 Pl to Broadway & Battery Pl,3850,5.07
Subscriber,8 Ave & W 33 St,Broadway & W 49 St,8 Ave & W 33 St to Broadway & W 49 St,3848,9.24
Subscriber,8 Ave & W 52 St,W 52 St & 11 Ave,8 Ave & W 52 St to W 52 St & 11 Ave,3845,6.44
Subscriber,Bank St & Washington St,Greenwich Ave & 8 Ave,Bank St & Washington St to Greenwich Ave & 8 Ave,3844,5.62
Subscriber,E 3 St & 1 Ave,Great Jones St,E 3 St & 1 Ave to Great Jones St,3841,5.12
Subscriber,9 Ave & W 22 St,W 20 St & 7 Ave,9 Ave & W 22 St to W 20 St & 7 Ave,3841,4.99
Subscriber,Lafayette St & E 8 St,Greenwich Ave & Charles St,Lafayette St & E 8 St to Greenwich Ave & Charles St,3838,6.52
Subscriber,E 39 St & 3 Ave,W 41 St & 8 Ave,E 39 St & 3 Ave to W 41 St & 8 Ave,3836,9.71
